,DayOfWeek,Date,Time,PdDistrict,Resolution,X,Y,Supervisor District,General Type,Distance,School Type,Sample num,Descript
1122,Friday,Spring,3,TENDERLOIN,"ARREST, BOOKED",-122.414056291891,37.7827931071006,6,CDC,very close,Pre-School,1562,1
12038,Saturday,Spring,16,PARK,"ARREST, BOOKED",-122.453512911126,37.7686969786551,5,IND,far,High School,17376,0
24800,Monday,Spring,3,MISSION,"ARREST, BOOKED",-122.419515708406,37.7634292328496,9,CDC,far,Pre-School,35456,1
29221,Wednesday,Fall,12,NORTHERN,"ARREST, BOOKED",-122.428950820315,37.78139115663561,5,CDC,close,Pre-School,41708,1
10762,Sunday,Fall,10,TENDERLOIN,"ARREST, BOOKED",-122.413237516676,37.78284302332129,6,IND,very close,Primary School,15512,4
10110,Monday,Spring,10,SOUTHERN,"ARREST, BOOKED",-122.413564091744,37.779514030063,6,CC,very close,College,14566,2
19013,Tuesday,Fall,17,TENDERLOIN,"ARREST, BOOKED",-122.40984944165501,37.78327552025671,6,IND,far,Primary School,27304,1
14234,Monday,Spring,13,TENDERLOIN,EXCEPTIONAL CLEARANCE,-122.412386379783,37.7825386747303,6,IND,very close,Primary School,20497,1
3345,Wednesday,Summer,13,INGLESIDE,"ARREST, BOOKED",-122.42124301161999,37.7404397369084,8,PS,very far,Primary School,4733,1
28015,Monday,Fall,16,SOUTHERN,"ARREST, BOOKED",-122.40806834515499,37.78399167679322,6,CC,far,College,39986,0
22880,Thursday,Fall,21,MISSION,"ARREST, BOOKED",-122.41965834371,37.7642205603745,9,PS,far,Primary School,32733,1
17841,Sunday,Fall,8,SOUTHERN,"ARREST, CITED",-122.40816295386401,37.780534538504895,6,IND,very far,Pre-School,25625,0
5943,Sunday,Spring,0,INGLESIDE,"ARREST, BOOKED",-122.424421767504,37.736401002257,8,CDC,very close,Pre-School,8599,1
25492,Tuesday,Fall,15,TENDERLOIN,"ARREST, BOOKED",-122.413869632561,37.781862188279206,6,CDC,very close,Pre-School,36406,1
4480,Tuesday,Spring,19,TENDERLOIN,NONE,-122.412784096502,37.78486569395261,6,CDC,close,Pre-School,6441,1
19352,Wednesday,Summer,12,BAYVIEW,"ARREST, BOOKED",-122.378928955993,37.7352990706774,10,PS,far,Primary School,27780,0
13997,Thursday,Fall,13,INGLESIDE,"ARREST, BOOKED",-122.43700378683,37.712934404414796,11,IND,close,High School,20163,1
28428,Wednesday,Summer,10,BAYVIEW,"ARREST, BOOKED",-122.391011706672,37.7359953041609,10,CDC,far,Pre-School,40584,1
111,Monday,Winter,19,TENDERLOIN,"ARREST, BOOKED",-122.41508317779899,37.781652445717505,6,CDC,close,Pre-School,162,2
26084,Tuesday,Summer,15,MISSION,NONE,-122.419052694349,37.7586324051562,9,CDC,far,Pre-School,37280,1
12642,Thursday,Spring,22,INGLESIDE,"ARREST, BOOKED",-122.434425859444,37.725176069818,11,PS,far,Primary School,18231,1
2395,Monday,Spring,16,SOUTHERN,"ARREST, BOOKED",-122.411071423064,37.7817511307229,6,PS,close,High School,3373,0
10760,Sunday,Summer,1,TARAVAL,"ARREST, BOOKED",-122.471801564759,37.7647236593974,5,IND,far,Primary School,15510,1
6270,Friday,Fall,9,MISSION,"ARREST, BOOKED",-122.41965834371,37.7642205603745,9,PS,far,Primary School,9060,1
15563,Wednesday,Winter,14,PARK,"ARREST, BOOKED",-122.449122960735,37.7697840925361,5,IND,far,High School,22375,0
4964,Wednesday,Summer,15,TENDERLOIN,NONE,-122.41421780432199,37.7832593295025,6,CDC,close,Pre-School,7176,2
29876,Friday,Spring,15,SOUTHERN,"ARREST, BOOKED",-122.40979519450501,37.7800356268394,6,IND,far,Pre-School,42641,2
16715,Saturday,Summer,1,CENTRAL,"ARREST, BOOKED",-122.406669739951,37.7978641744394,3,CDC,close,Pre-School,24023,4
18155,Thursday,Summer,16,SOUTHERN,"ARREST, BOOKED",-122.40340479147899,37.775420706711,6,PS,far,High School,26078,0
1270,Tuesday,Summer,23,RICHMOND,"ARREST, CITED",-122.47176229348601,37.773137056445705,1,PS,far,Pre-School,1779,0
9925,Wednesday,Winter,9,TARAVAL,JUVENILE CITED,-122.463912591086,37.76040414139271,7,IND,far,Pre-School,14292,0
3069,Thursday,Spring,6,CENTRAL,"ARREST, BOOKED",-122.410699657634,37.7869881885308,3,IND,very close,High School,4333,2
12648,Saturday,Summer,14,MISSION,"ARREST, BOOKED",-122.419478247917,37.763050767731,9,CDC,far,Pre-School,18240,1
19925,Thursday,Summer,0,NORTHERN,"ARREST, BOOKED",-122.428464085513,37.7791067704679,5,CDC,far,Pre-School,28632,2
21012,Friday,Summer,22,BAYVIEW,"ARREST, BOOKED",-122.409046086887,37.73020218064711,9,PS,very far,Primary School,30160,1
